chrom,strand,TSS,cluster_member
chr12,-,116714059,hsa-mir-620
chr12,-,116872740,hsa-mir-4472-2
chr12,-,120315095,hsa-mir-1178
chr12,-,120632513,hsa-mir-4498
chr13,+,24734860,hsa-mir-2276
chr13,+,52027582,hsa-mir-4703
chr13,+,53227077,hsa-mir-759
chr13,+,115000361,hsa-mir-548ar
chr13,+,115000838,hsa-mir-4502
chr13,-,41706742,hsa-mir-3168
chr13,-,50571551,hsa-mir-3613
chr13,-,50655641,"hsa-mir-15a,hsa-mir-16-1"
chr13,-,52025745,hsa-mir-5693
chr13,-,103046869,"hsa-mir-2681,hsa-mir-4705"
chr14,+,65453506,hsa-mir-4706
chr14,+,65879447,hsa-mir-625
chr14,+,77648319,hsa-mir-1260a
chr14,+,101292979,hsa-mir-770
chr14,-,28787636,hsa-mir-3171
chr14,-,31495607,hsa-mir-624
chr14,-,50778947,hsa-mir-4504
chr14,-,55368906,hsa-mir-4308
chr14,-,65878740,hsa-mir-4708
chr14,-,102226823,hsa-mir-1247
chr14,-,104808389,hsa-mir-3545
chr14,-,105144399,hsa-mir-4710
chr15,+,35838471,hsa-mir-4510
chr15,+,41954154,hsa-mir-626
chr15,+,50647744,hsa-mir-4712
chr15,+,63034731,hsa-mir-190a
chr15,+,66162506,hsa-mir-4311
chr15,+,72767459,hsa-mir-630
chr15,+,76629148,hsa-mir-3713
chr15,+,79383241,hsa-mir-184
chr15,+,80696691,hsa-mir-5572
chr15,+,86338384,hsa-mir-548ap
chr15,+,89089953,"hsa-mir-7-2,hsa-mir-1179"
chr15,+,89905460,hsa-mir-9-3
chr15,+,90545874,hsa-mir-3174
chr15,+,93447058,hsa-mir-3175
chr15,+,96875793,hsa-mir-1469
chr15,-,22545329,hsa-mir-1268a
chr15,-,26095570,hsa-mir-4715
chr15,-,42500502,hsa-mir-627
chr15,-,49462673,hsa-mir-4716
chr15,-,52580614,hsa-mir-1266
chr15,-,64338350,hsa-mir-422a
chr15,-,66790146,hsa-mir-4512
chr15,-,70390256,hsa-mir-629
chr15,-,75660831,hsa-mir-631
chr15,-,76094470,hsa-mir-4313
chr15,-,81293055,hsa-mir-4514
chr15,-,86338189,hsa-mir-1276
chr15,-,89181957,hsa-mir-3529
chr16,+,579274,"hsa-mir-3176,hsa-mir-5587"
chr16,+,2178697,hsa-mir-4516
chr16,+,2318916,"hsa-mir-4717,hsa-mir-3677,hsa-mir-940"
chr16,+,14401796,hsa-mir-365a
chr16,+,16327230,"hsa-mir-3670-2,hsa-mir-3180-2,hsa-mir-3179-2"
chr16,+,28962317,hsa-mir-4517
chr16,+,50776028,hsa-mir-3181
chr16,+,81349341,hsa-mir-4720
chr16,+,88522104,hsa-mir-5189
chr16,-,15149744,hsa-mir-1972-1
chr16,-,18573163,"hsa-mir-3179-3,hsa-mir-3180-3"
chr16,-,21530802,hsa-mir-3680-1
chr16,-,28857729,hsa-mir-4721
chr16,-,29624595,hsa-mir-3680-2
chr16,-,69600103,hsa-mir-1538
chr17,+,6555465,hsa-mir-4520b
chr17,+,7983028,hsa-mir-4314
chr17,+,8089748,"hsa-mir-4521,hsa-mir-3676"
chr17,+,16120508,hsa-mir-1288
chr17,+,26684686,hsa-mir-4723
chr17,+,28443824,hsa-mir-423
chr17,+,29815426,hsa-mir-4724
chr17,+,29886688,"hsa-mir-4725,hsa-mir-193a"
chr17,+,35306174,hsa-mir-2909
chr17,+,36861872,hsa-mir-4726
chr17,+,36981631,hsa-mir-4727
chr17,+,40610861,hsa-mir-548at
chr17,+,45000521,hsa-mir-5089
chr17,+,57409052,hsa-mir-4729
chr17,+,72744750,hsa-mir-3615
chr17,+,78010430,hsa-mir-1268b
chr17,+,78389944,hsa-mir-4730
chr17,-,1617856,hsa-mir-22
chr17,-,1953544,hsa-mir-132
chr17,-,2652534,hsa-mir-1253
chr17,-,6616687,hsa-mir-4520a
chr17,-,7137475,hsa-mir-324
chr17,-,12921004,hsa-mir-1269b
chr17,-,15164093,hsa-mir-4731
chr17,-,19266046,hsa-mir-1180
chr17,-,25621649,hsa-mir-4522
chr17,-,29421825,hsa-mir-4733
chr17,-,36858740,hsa-mir-4734
chr17,-,43567894,hsa-mir-4315-1
chr17,-,46714086,hsa-mir-196a-1
chr17,-,46806106,hsa-mir-3185
chr17,-,54991409,hsa-mir-3614
chr17,-,58156061,hsa-mir-4737
chr17,-,62501510,"hsa-mir-3064,hsa-mir-5047"
chr17,-,62833302,hsa-mir-4315-2
chr17,-,65487350,hsa-mir-548d-2
chr17,-,66453653,hsa-mir-635
chr17,-,74732920,hsa-mir-636
chr17,-,75422434,hsa-mir-4316
chr17,-,77715882,hsa-mir-4739
chr17,-,79451450,hsa-mir-3186
chr17,-,80626668,hsa-mir-4525
chr18,+,13542296,hsa-mir-4526
chr18,+,20513294,hsa-mir-4741
chr18,+,25758179,hsa-mir-302f
chr18,+,33077727,hsa-mir-3975
chr18,+,34409262,hsa-mir-4318
chr18,+,46065426,hsa-mir-4743
chr18,+,47013274,hsa-mir-1539
chr18,+,52989128,hsa-mir-4529
chr18,-,19748506,"hsa-mir-133a-1,hsa-mir-1-2"
chr18,-,33530339,"hsa-mir-187,hsa-mir-3929"
chr18,-,46987079,hsa-mir-4744
chr19,+,799454,"hsa-mir-3187,hsa-mir-4745"
chr19,+,4402849,hsa-mir-4746
chr19,+,4724715,hsa-mir-7-3
chr19,+,10305818,hsa-mir-4322
chr19,+,10859972,hsa-mir-4748
chr19,+,12893598,hsa-mir-5684
chr19,+,13002129,hsa-mir-5695
chr19,+,13973029,"hsa-mir-181c,hsa-mir-181d"
chr19,+,15543677,hsa-mir-1470
chr19,+,19517336,hsa-mir-640
chr19,+,46519630,hsa-mir-769
chr19,+,50180408,hsa-mir-5088
chr19,+,50354415,hsa-mir-4749
chr19,+,50380681,hsa-mir-4750
chr19,+,50432399,hsa-mir-4751
chr19,+,52772823,hsa-mir-643
chr19,+,54484709,hsa-mir-935
chr19,+,54707548,hsa-mir-4752
chr19,-,1848452,hsa-mir-1909
chr19,-,2236328,hsa-mir-1227
chr19,-,8454877,hsa-mir-4999
chr19,-,10514271,hsa-mir-1181
chr19,-,10946752,hsa-mir-199a-1
chr19,-,40790747,hsa-mir-641
chr19,-,42680908,hsa-mir-4323
chr19,-,45221917,hsa-mir-4531
chr19,-,47217577,hsa-mir-320e
chr19,-,47731023,hsa-mir-3191
chr19,-,58898433,hsa-mir-4754
chr2,+,11970185,hsa-mir-3681
chr2,+,32853086,hsa-mir-4765
chr2,+,33824614,hsa-mir-548ad
chr2,+,64751951,hsa-mir-4434
chr2,+,75185883,hsa-mir-5000
chr2,+,97426638,hsa-mir-3127
chr2,+,134878048,hsa-mir-3679
chr2,+,136289082,hsa-mir-128-1
chr2,+,183989482,hsa-mir-548ae-1
chr2,+,207630802,hsa-mir-3130-2
chr2,+,214149102,hsa-mir-4438
chr2,+,219264477,hsa-mir-26b
chr2,+,232575519,hsa-mir-1244-1
chr2,+,242295663,hsa-mir-3133
chr2,-,10442473,hsa-mir-4261
chr2,-,25564784,hsa-mir-1301
chr2,-,53994884,hsa-mir-4431
chr2,-,56411961,"hsa-mir-216a,hsa-mir-216b"
chr2,-,60777426,hsa-mir-4432
chr2,-,66660238,hsa-mir-4778
chr2,-,70484827,hsa-mir-1285-2
chr2,-,86422074,hsa-mir-4779
chr2,-,112641741,hsa-mir-4771-2
chr2,-,114513764,hsa-mir-4782
chr2,-,132250064,hsa-mir-4784
chr2,-,161349352,hsa-mir-4785
chr2,-,176032934,hsa-mir-933
chr2,-,208199466,hsa-mir-1302-4
chr2,-,219867866,hsa-mir-375
chr2,-,220159527,hsa-mir-153-1
chr2,-,220436162,hsa-mir-3132
chr2,-,232790244,hsa-mir-1471
chr2,-,233415681,hsa-mir-5001
chr2,-,240964366,hsa-mir-4786
chr20,+,3870462,hsa-mir-103a-2
chr20,+,18448032,hsa-mir-3192
chr20,+,32582419,hsa-mir-4755
chr20,+,37101485,hsa-mir-548o-2
chr20,+,45588149,hsa-mir-3616
chr20,+,61734089,hsa-mir-124-3
chr20,+,61904666,hsa-mir-4326
chr20,+,62527008,"hsa-mir-941-4,hsa-mir-941-3,hsa-mir-941-1"
chr20,-,3995608,hsa-mir-103b-2
chr20,-,26189280,hsa-mir-663a
chr20,-,33680178,hsa-mir-499b
chr20,-,34042011,hsa-mir-1289-1
chr20,-,49252532,hsa-mir-1302-5
chr20,-,57414700,"hsa-mir-296,hsa-mir-298"
chr20,-,60640200,hsa-mir-1257
chr20,-,60930690,hsa-mir-4758
chr21,+,27542636,hsa-mir-4759
chr21,-,44394217,hsa-mir-5692b
chr22,+,20008630,hsa-mir-185
chr22,+,20068265,"hsa-mir-1306,hsa-mir-3618"
chr22,+,21996768,"hsa-mir-130b,hsa-mir-301b"
chr22,+,28315363,hsa-mir-3199-2
chr22,+,31090792,hsa-mir-3200
chr22,+,35697110,hsa-mir-3909
chr22,+,38350317,hsa-mir-4534
chr22,+,41488089,hsa-mir-1281
chr22,+,42229743,hsa-mir-33a
chr22,+,46482288,"hsa-mir-4763,hsa-let-7a-3,hsa-mir-3619"
chr22,-,18483812,hsa-mir-648
chr22,-,29075573,hsa-mir-3199-1
chr22,-,29784572,hsa-mir-3653
chr22,-,31608219,hsa-mir-3928
chr22,-,38244781,hsa-mir-659
chr22,-,41215392,hsa-mir-4766
chr22,-,45608347,hsa-mir-1249
chr3,+,15901946,hsa-mir-563
chr3,+,20082392,hsa-mir-3135a
chr3,+,44041139,hsa-mir-138-1
chr3,+,44803208,hsa-mir-564
chr3,+,47866851,hsa-mir-1226
chr3,+,67049035,hsa-mir-4272
chr3,+,73160061,hsa-mir-4444-2
chr3,+,75485255,hsa-mir-1324
chr3,+,79068155,hsa-mir-3923
chr3,+,85008868,hsa-mir-5688
chr3,+,111806076,hsa-mir-567
chr3,+,113297087,hsa-mir-4446
chr3,+,120627049,hsa-mir-5682
chr3,+,124449212,hsa-mir-544b
chr3,+,127872312,hsa-mir-1280
chr3,+,134093994,hsa-mir-4788
chr3,+,195384921,hsa-mir-570
chr3,-,31573375,hsa-mir-466
chr3,-,48693550,hsa-mir-4793
chr3,-,49058467,"hsa-mir-191,hsa-mir-425"
chr3,-,52311660,hsa-let-7g
chr3,-,52443741,hsa-mir-135a-1
chr3,-,69100436,hsa-mir-3136
chr3,-,87276299,hsa-mir-4795
chr3,-,116583181,hsa-mir-4447
chr3,-,125634249,hsa-mir-548i-1
chr3,-,131753844,hsa-mir-5704
chr3,-,151484974,hsa-mir-5186
chr3,-,171178197,hsa-mir-569
chr3,-,197024559,hsa-mir-4797
chr4,+,26862482,hsa-mir-4275
chr4,+,53578620,hsa-mir-4449
chr4,+,66536208,hsa-mir-1269a
chr4,+,77491718,"hsa-mir-4450,hsa-mir-548ah"
chr4,+,79698243,hsa-mir-5096
chr4,+,99917486,hsa-mir-3684
chr4,+,110355538,hsa-mir-576
chr4,+,144257982,hsa-mir-3139
chr4,+,148653452,hsa-mir-4799
chr4,-,2010962,hsa-mir-943
chr4,-,8160559,hsa-mir-95
chr4,-,9693052,hsa-mir-548i-2
chr4,-,10117753,hsa-mir-3138
chr4,-,24585238,hsa-mir-573
chr4,-,87515268,hsa-mir-4452
chr4,-,102267994,hsa-mir-1255a
chr4,-,113683948,"hsa-mir-367,hsa-mir-302c,hsa-mir-302a,hsa-mir-302d,hsa-mir-302b"
chr4,-,148538331,hsa-mir-548g
chr4,-,164087452,hsa-mir-4454
chr5,+,8457799,hsa-mir-4458
chr5,+,15500304,hsa-mir-887
chr5,+,71404802,hsa-mir-4803
chr5,+,72144837,hsa-mir-4804
chr5,+,85914317,hsa-mir-3607
chr5,+,118407083,hsa-mir-5706
chr5,+,128430441,hsa-mir-4633
chr5,+,133512863,hsa-mir-3661
chr5,+,134240809,hsa-mir-4461
chr5,+,140027383,hsa-mir-3655
chr5,+,148737727,"hsa-mir-145,hsa-mir-143"
chr5,+,149111784,hsa-mir-378a
chr5,+,154136077,hsa-mir-378h
chr5,+,159866497,"hsa-mir-146a,hsa-mir-3142"
chr5,-,612190,hsa-mir-4456
chr5,-,1344611,hsa-mir-4457
chr5,-,1799942,hsa-mir-4277
chr5,-,14871887,hsa-mir-4637
chr5,-,32172810,hsa-mir-4279
chr5,-,32444298,hsa-mir-579
chr5,-,36152015,hsa-mir-580
chr5,-,53606403,hsa-mir-4459
chr5,-,54469005,"hsa-mir-449a,hsa-mir-449c,hsa-mir-449b"
chr5,-,54830370,hsa-mir-5687
chr5,-,57878812,hsa-mir-548ae-2
chr5,-,86563530,hsa-mir-4280
chr5,-,92956526,hsa-mir-2277
chr5,-,168006090,hsa-mir-103a-1
chr5,-,168728133,hsa-mir-585
chr5,-,170814442,hsa-mir-3912
chr5,-,179498332,hsa-mir-340
chr6,+,5892634,hsa-mir-5683
chr6,+,10415101,hsa-mir-5689
chr6,+,16129316,hsa-mir-4639
chr6,+,30539436,hsa-mir-877
chr6,+,33172743,hsa-mir-219-1
chr6,+,33393841,hsa-mir-5004
chr6,+,33589222,hsa-mir-3934
chr6,+,44356070,hsa-mir-4642
chr6,+,57182421,hsa-mir-548u
chr6,+,75994752,hsa-mir-4463
chr6,+,91297064,hsa-mir-4643
chr6,+,97731225,hsa-mir-2113
chr6,+,99395978,hsa-mir-548ai
chr6,+,107077657,hsa-mir-587
chr6,+,120326842,hsa-mir-3144
chr6,+,126661316,hsa-mir-588
chr6,+,135502710,hsa-mir-548a-2
chr6,+,155055370,hsa-mir-1273c
chr6,+,155636052,hsa-mir-1202
chr6,+,157802556,hsa-mir-3692
chr6,+,170615843,hsa-mir-4644
chr6,-,5261172,hsa-mir-3691
chr6,-,31926503,hsa-mir-1236
chr6,-,36646796,hsa-mir-3925
chr6,-,37665384,hsa-mir-4462
chr6,-,44225283,hsa-mir-4647
chr6,-,45345230,hsa-mir-586
chr6,-,135376036,hsa-mir-3662
chr6,-,157101025,hsa-mir-4466
chr6,-,167412081,hsa-mir-3939
chr7,+,2559478,hsa-mir-4648
chr7,+,21467688,hsa-mir-1183
chr7,+,32768579,hsa-mir-550a-2
chr7,+,73588705,hsa-mir-590
chr7,+,75544419,hsa-mir-4651
chr7,+,97501512,hsa-mir-5692a-1
chr7,+,98476811,hsa-mir-3609
chr7,+,100798429,hsa-mir-4653
chr7,+,102105389,"hsa-mir-5090,hsa-mir-4467"
chr7,+,127807595,hsa-mir-129-1
chr7,+,150929584,hsa-mir-671
chr7,-,1067477,hsa-mir-339
chr7,-,2272583,hsa-mir-4655
chr7,-,5553399,hsa-mir-589
chr7,-,19748660,hsa-mir-3146
chr7,-,26118714,hsa-mir-148a
chr7,-,32930793,hsa-mir-550b-2
chr7,-,44924370,hsa-mir-4657
chr7,-,66767217,hsa-mir-4650-1
chr7,-,91875212,hsa-mir-1285-1
chr7,-,95951459,hsa-mir-591
chr7,-,97601501,hsa-mir-5692c-2
chr7,-,99698380,"hsa-mir-106b,hsa-mir-25,hsa-mir-93"
chr7,-,99755291,hsa-mir-4658
chr7,-,102073871,hsa-mir-548o
chr7,-,129419494,"hsa-mir-182,hsa-mir-183,hsa-mir-96"
chr7,-,132766828,hsa-mir-3654
chr7,-,147939616,hsa-mir-548f-4
chr8,+,1712356,hsa-mir-3674
chr8,+,6565877,hsa-mir-4659a
chr8,+,8860690,hsa-mir-4660
chr8,+,9413444,hsa-mir-597
chr8,+,75262784,hsa-mir-5681a
chr8,+,101348713,hsa-mir-4471
chr8,+,124287228,hsa-mir-548aa-1
chr8,+,125551465,hsa-mir-4662a
chr8,+,128806984,hsa-mir-1204
chr8,-,8085090,hsa-mir-548i-3
chr8,-,9911717,hsa-mir-124-1
chr8,-,10697299,hsa-mir-1322
chr8,-,11058875,hsa-mir-598
chr8,-,22103113,hsa-mir-320a
chr8,-,27629904,hsa-mir-3622b
chr8,-,27850369,hsa-mir-4287
chr8,-,28479790,hsa-mir-4288
chr8,-,29939597,hsa-mir-3148
chr8,-,41166254,hsa-mir-548ao
chr8,-,75896701,hsa-mir-5681b
chr8,-,77912135,hsa-mir-3149
chr8,-,94928923,hsa-mir-378d-2
chr8,-,96145808,hsa-mir-3150b
chr8,-,100905858,"hsa-mir-599,hsa-mir-875"
chr8,-,117887105,hsa-mir-3610
chr8,-,124253411,hsa-mir-4663
chr8,-,124408180,hsa-mir-548d-1
chr8,-,135843941,"hsa-mir-30b,hsa-mir-30d"
chr8,-,143484179,hsa-mir-1302-7
chr8,-,144815914,hsa-mir-4664
chr8,-,144897549,hsa-mir-937
chr8,-,145022794,hsa-mir-661
chr8,-,145634733,"hsa-mir-1234,hsa-mir-939"
chr9,+,4793520,hsa-mir-101-2
chr9,+,6007493,hsa-mir-4665
chr9,+,20684338,hsa-mir-491
chr9,+,35605280,hsa-mir-4667
chr9,+,68413739,hsa-mir-4477b
chr9,+,91926112,hsa-mir-3153
chr9,+,96929482,"hsa-let-7d,hsa-let-7a-1,hsa-let-7f-1"
chr9,+,114659743,hsa-mir-4668
chr9,+,130547864,"hsa-mir-3960,hsa-mir-2861"
chr9,+,139703135,hsa-mir-4292
chr9,-,69065139,hsa-mir-1299
chr9,-,86594190,hsa-mir-7-1
chr9,-,123342156,hsa-mir-147a
chr9,-,124921802,hsa-mir-4478
chr9,-,126030445,hsa-mir-600
chr9,-,130461745,hsa-mir-3911
chr9,-,130640022,hsa-mir-4672
chr9,-,131037600,"hsa-mir-199b,hsa-mir-3154"
chr9,-,131218324,hsa-mir-219-2
chr9,-,139440238,hsa-mir-4673
chrX,+,17395694,hsa-mir-4768
chrX,+,39615211,hsa-mir-1587
chrX,+,47441785,hsa-mir-4769
chrX,+,49687224,"hsa-mir-188,hsa-mir-660,hsa-mir-500b,hsa-mir-502,hsa-mir-501,hsa-mir-500a,hsa-mir-532,hsa-mir-362"
chrX,+,68835910,hsa-mir-676
chrX,+,73164303,hsa-mir-374c
chrX,+,109246341,"hsa-mir-3978,hsa-mir-652"
chrX,+,117480747,hsa-mir-1277
chrX,+,153237990,hsa-mir-3202-1
chrX,-,16730340,hsa-mir-548am
chrX,-,53710129,"hsa-mir-98,hsa-let-7f-2"
chrX,-,55478359,hsa-mir-4536-1
chrX,-,77040981,"hsa-mir-384,hsa-mir-325"
chrX,-,83757092,hsa-mir-548i-4
chrX,-,118826478,hsa-mir-766
chrX,-,133507178,"hsa-mir-106a,hsa-mir-19b-2,hsa-mir-18b,hsa-mir-92a-2,hsa-mir-20b,hsa-mir-363"
chrX,-,139015005,hsa-mir-505
chrX,-,140271055,hsa-mir-320d-2
chrX,-,146993187,hsa-mir-514b
